unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
1,The Persistence of Memory,,,,,,,5,,,,,,,
2,The Persistence of Memory,5,"The clocks are burnt on a hot desert, it embodies the melancholy of time passing. The dominant yellow hue intensifies this sensation.",4 - Agree,3 - Neutral/Unsure,2 - Disagree,1 - Strongly disagree,2,4,0,Bathroom,By yourself,Fall,Fries,A country song that contrasts nostalgia for the past with dissatisfaction with the present.
3,The Persistence of Memory,7,This painting makes me feel dread. The clock reminds me of a ticking time until the death of the creature in the picture.,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,4,3,$5,"Bathroom,Dining room","Coworkers/Classmates,By yourself",Fall,Sardines,A melancholy instrumental with a monotone voice singing gloomy lyrics like Creep by radiohead.
4,The Persistence of Memory,7,Deflated,4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,10,7,a,"Bedroom,Bathroom",Coworkers/Classmates,Winter,a,q
5,The Persistence of Memory,7,The painting gives me a sense of calmness and plenitude. It has an ominous and nostalgic feeling similar to time passing. ,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,3 - Neutral/Unsure,4,6,300 dollars.,Living room,Friends,"Spring,Summer",Churros.,Radiohead's album in rainbows.
6,The Persistence of Memory,7,"This painting makes me feel a bit confused and bewildered, as the objects and art style make me feel detached from reality.",4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,5,6,90000,"Office,Living room","Friends,Family members,By yourself","Summer,Fall",Shepherd's pie,"The soundtrack should sound heavy, sombre, and like a finale to an event. It should be slow but without too much emotion."
7,The Persistence of Memory,8,It has a sorrow feeling and clock is melting feel like time is decaying.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,3,3,0,Office,By yourself,Winter,10 days old lasagna,"A truly sorrow, minor key orchestra piece"
8,The Persistence of Memory,4,"The painting makes me feel somewhat sad, thinking about the passage of time.",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,7,8,150,Office,By yourself,Winter,Grilled Salmon with a Beurre Blanc sauce.,"Slow, somewhat sad piano or violin piece."
9,The Persistence of Memory,8,"eerie, moody, confused",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,3,4,20,Office,Friends,Fall,pizza,ticking clock horror movie soundtrack
10,The Persistence of Memory,10,"The painting gives me a sense of nostalgia and mourning. Although the setting is surreal, it feels like I am looking at a part of my life which has gone and passed forever and is warped upon reflection.",5 - Strongly agree,3 - Neutral/Unsure,1 - Strongly disagree,5 - Strongly agree,3,5,100000000,Living room,"Friends,Family members,By yourself",Fall,flan,"The soundtrack would be somber and nostalgic, with a solemn yearning for the past. "
11,The Persistence of Memory,7,The painting makes me feel lathargic.,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral/Unsure,3,5,400,"Office,Dining room",By yourself,Fall,Soup,Low bpm
12,The Persistence of Memory,8,World goes to an end.,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,3,3,1000,Bedroom,"Friends,Family members,By yourself",Fall,A black chocolate.,"The soundtrack is cold, giving a scene of  million years after a global disaster."
